127.0.0.1 - - [02/Oct/2025:15:36:06 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:40:33 +0900] "GET /BackEnd20240901Yun/login.do?id=dong&pw=1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:40:33 +0900] "GET /BackEnd20240901Yun/index.jsp HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:40:36 +0900] "GET /BackEnd20240901Yun/login.do?id=dong&pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:40:36 +0900] "GET /BackEnd20240901Yun/index.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:40:51 +0900] "POST /BackEnd20240901Yun/logout.do HTTP/1.1" 500 1496
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:41:38 +0900] "POST /BackEnd20240901Yun/logout.do HTTP/1.1" 500 1496
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:41:42 +0900] "GET /BackEnd20240901Yun/ HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:41:47 +0900] "GET /BackEnd20240901Yun/login.do?id=dong&pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:41:47 +0900] "GET /BackEnd20240901Yun/index.jsp HTTP/1.1" 200 326
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:41:48 +0900] "POST /BackEnd20240901Yun/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:41:48 +0900] "GET /BackEnd20240901Yun/index.jsp HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:46:20 +0900] "GET /BackEnd20240901Yun/index.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:46:29 +0900] "GET /BackEnd20240901Yun/login.do?id=dong&pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:46:29 +0900] "GET /BackEnd20240901Yun/index.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:46:31 +0900] "POST /BackEnd20240901Yun/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:46:31 +0900] "GET /BackEnd20240901Yun/index.jsp HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:47:38 +0900] "GET /BackEnd20240901Yun/login.do?id=dong&pw=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:47:38 +0900] "GET /BackEnd20240901Yun/index.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:50:01 +0900] "GET /BackEnd20240901Yun/index.jsp HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:50:04 +0900] "POST /BackEnd20240901Yun/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:50:04 +0900] "GET /BackEnd20240901Yun/index.jsp HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [02/Oct/2025:15:50:23 +0900] "GET /BackEnd20240901Yun/index.jsp HTTP/1.1" 200 443
